cod_municipio_ibge,nome_municipio,uf,estado,mesorregiao,regiao_brasil
1200013,Acrelândia,AC,Acre,Vale do Acre,Norte
1200054,Assis Brasil,AC,Acre,Vale do Acre,Norte
1200104,Brasiléia,AC,Acre,Vale do Acre,Norte
1200138,Bujari,AC,Acre,Vale do Acre,Norte
1200179,Capixaba,AC,Acre,Vale do Acre,Norte
1200203,Cruzeiro Do Sul,AC,Acre,Vale do Juruá,Norte
1200252,Epitaciolândia,AC,Acre,Vale do Acre,Norte
1200302,Feijó,AC,Acre,Vale do Juruá,Norte
1200328,Jordão,AC,Acre,Vale do Juruá,Norte
1200336,Mâncio Lima,AC,Acre,Vale do Juruá,Norte
1200344,Manoel Urbano,AC,Acre,Vale do Acre,Norte
1200351,Marechal Thaumaturgo,AC,Acre,Vale do Juruá,Norte
1200385,Plácido De Castro,AC,Acre,Vale do Acre,Norte
1200393,Porto Walter,AC,Acre,Vale do Juruá,Norte
1200401,Rio Branco,AC,Acre,Vale do Acre,Norte
1200427,Rodrigues Alves,AC,Acre,Vale do Juruá,Norte
1200435,Santa Rosa Do Purus,AC,Acre,Vale do Acre,Norte
1200450,Senador Guiomard,AC,Acre,Vale do Acre,Norte
1200500,Sena Madureira,AC,Acre,Vale do Acre,Norte
1200609,Tarauacá,AC,Acre,Vale do Juruá,Norte
1200708,Xapuri,AC,Acre,Vale do Acre,Norte
1200807,Porto Acre,AC,Acre,Vale do Acre,Norte
2700102,Água Branca,AL,Alagoas,Sertão Alagoano,Nordeste
2700201,Anadia,AL,Alagoas,Leste Alagoano,Nordeste
2700300,Arapiraca,AL,Alagoas,Agreste Alagoano,Nordeste
2700409,Atalaia,AL,Alagoas,Leste Alagoano,Nordeste
2700508,Barra De Santo Antônio,AL,Alagoas,Leste Alagoano,Nordeste
2700607,Barra De São Miguel,AL,Alagoas,Leste Alagoano,Nordeste
2700706,Batalha,AL,Alagoas,Sertão Alagoano,Nordeste
2700805,Belém,AL,Alagoas,Agreste Alagoano,Nordeste
2700904,Belo Monte,AL,Alagoas,Sertão Alagoano,Nordeste
2701001,Boca Da Mata,AL,Alagoas,Leste Alagoano,Nordeste
2701100,Branquinha,AL,Alagoas,Leste Alagoano,Nordeste
2701209,Cacimbinhas,AL,Alagoas,Agreste Alagoano,Nordeste
2701308,Cajueiro,AL,Alagoas,Leste Alagoano,Nordeste
2701357,Campestre,AL,Alagoas,Leste Alagoano,Nordeste
2701407,Campo Alegre,AL,Alagoas,Leste Alagoano,Nordeste
2701506,Campo Grande,AL,Alagoas,Agreste Alagoano,Nordeste
2701605,Canapi,AL,Alagoas,Sertão Alagoano,Nordeste
2701704,Capela,AL,Alagoas,Leste Alagoano,Nordeste
2701803,Carneiros,AL,Alagoas,Sertão Alagoano,Nordeste
2701902,Chã Preta,AL,Alagoas,Leste Alagoano,Nordeste
2702009,Coité Do Nóia,AL,Alagoas,Agreste Alagoano,Nordeste
2702108,Colônia Leopoldina,AL,Alagoas,Leste Alagoano,Nordeste
2702207,Coqueiro Seco,AL,Alagoas,Leste Alagoano,Nordeste
2702306,Coruripe,AL,Alagoas,Leste Alagoano,Nordeste
2702355,Craíbas,AL,Alagoas,Agreste Alagoano,Nordeste
2702405,Delmiro Gouveia,AL,Alagoas,Sertão Alagoano,Nordeste
2702504,Dois Riachos,AL,Alagoas,Sertão Alagoano,Nordeste
2702553,Estrela De Alagoas,AL,Alagoas,Agreste Alagoano,Nordeste
2702603,Feira Grande,AL,Alagoas,Agreste Alagoano,Nordeste
2702702,Feliz Deserto,AL,Alagoas,Leste Alagoano,Nordeste
2702801,Flexeiras,AL,Alagoas,Leste Alagoano,Nordeste
2702900,Girau Do Ponciano,AL,Alagoas,Agreste Alagoano,Nordeste
2703007,Ibateguara,AL,Alagoas,Leste Alagoano,Nordeste
2703106,Igaci,AL,Alagoas,Agreste Alagoano,Nordeste
2703205,Igreja Nova,AL,Alagoas,Leste Alagoano,Nordeste
2703304,Inhapi,AL,Alagoas,Sertão Alagoano,Nordeste
2703403,Jacaré Dos Homens,AL,Alagoas,Sertão Alagoano,Nordeste
2703502,Jacuípe,AL,Alagoas,Leste Alagoano,Nordeste
2703601,Japaratinga,AL,Alagoas,Leste Alagoano,Nordeste
2703700,Jaramataia,AL,Alagoas,Sertão Alagoano,Nordeste
2703759,Jequiá Da Praia,AL,Alagoas,Leste Alagoano,Nordeste
2703809,Joaquim Gomes,AL,Alagoas,Leste Alagoano,Nordeste
2703908,Jundiá,AL,Alagoas,Leste Alagoano,Nordeste
2704005,Junqueiro,AL,Alagoas,Leste Alagoano,Nordeste
2704104,Lagoa Da Canoa,AL,Alagoas,Agreste Alagoano,Nordeste
2704203,Limoeiro De Anadia,AL,Alagoas,Agreste Alagoano,Nordeste
2704302,Maceió,AL,Alagoas,Leste Alagoano,Nordeste
2704401,Major Isidoro,AL,Alagoas,Sertão Alagoano,Nordeste
2704500,Maragogi,AL,Alagoas,Leste Alagoano,Nordeste
2704609,Maravilha,AL,Alagoas,Sertão Alagoano,Nordeste
2704708,Marechal Deodoro,AL,Alagoas,Leste Alagoano,Nordeste
2704807,Maribondo,AL,Alagoas,Agreste Alagoano,Nordeste
2704906,Mar Vermelho,AL,Alagoas,Agreste Alagoano,Nordeste
2705002,Mata Grande,AL,Alagoas,Sertão Alagoano,Nordeste
2705101,Matriz De Camaragibe,AL,Alagoas,Leste Alagoano,Nordeste
2705200,Messias,AL,Alagoas,Leste Alagoano,Nordeste
2705309,Minador Do Negrão,AL,Alagoas,Agreste Alagoano,Nordeste
2705408,Monteirópolis,AL,Alagoas,Sertão Alagoano,Nordeste
2705507,Murici,AL,Alagoas,Leste Alagoano,Nordeste
2705606,Novo Lino,AL,Alagoas,Leste Alagoano,Nordeste
2705705,Olho D'Água Das Flores,AL,Alagoas,Sertão Alagoano,Nordeste
2705804,Olho D'Água Do Casado,AL,Alagoas,Sertão Alagoano,Nordeste
